bonus,cashdown,creation_date,description,distance_allowed,distance_period,end_date,financing_duration,frequency,img_url,interest_rate,last_modified_date,make,make_id,model,model_id,payment,promotion_id,rebate,start_date,title,trim,trim_id,type,year
,,,"<p>Enjoy this month's promotion and get the 2013 GMC Sierra 1500 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:48,GMC,44,Sierra 1500,815,,184,,2013-04-23,Get The 2013 GMC Sierra 1500!,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2015-02-11,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:49,Chevrolet,41,Cruze,750,,185,,2013-02-08,The 2013 Chevrolet Cruze Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Cadillac ATS <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-02-08,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:49,Cadillac,43,ATS,824,,186,,2013-02-08,Get The 2013 Cadillac ATS!,,,,2013.0
,,,<p>Buick Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:49,Buick,42,Regal,774,,187,,2013-02-08,The 2013 Buick Regal Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 GMC Sierra 1500 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:49,GMC,44,Sierra 1500,815,,188,,2013-02-08,Get The 2013 GMC Sierra 1500!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Sonic Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-11,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:50,Chevrolet,41,Sonic Berline,748,,196,,2013-02-11,Get The 2013 Chevrolet Sonic Berline!,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:50,Chevrolet,41,Equinox,757,,197,,2013-04-23,The 2013 Chevrolet Equinox Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 GMC Terrain <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:50,GMC,44,Terrain,781,,198,,2013-04-23,Get The 2013 GMC Terrain!,,,,2013.0
,,,<p>GMC Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:50,GMC,44,Sierra 1500,815,,199,,2013-04-23,The 2013 GMC Sierra 1500 Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Buick Verano <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-13,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:50,Buick,42,Verano,766,,200,,2013-02-11,Get The 2013 Buick Verano!,,,,2013.0
,,,<p>Buick Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-14,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:50,Buick,42,LaCrosse,773,,201,,2013-02-11,The 2013 Buick LaCrosse Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Cadillac ATS <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-13,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:50,Cadillac,43,ATS,824,,202,,2013-02-11,Get The 2013 Cadillac ATS!,,,,2013.0
,,,<p>Cadillac Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-14,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:50,Cadillac,43,SRX,769,,203,,2013-02-11,The 2013 Cadillac SRX Is Here,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:51,Chevrolet,41,Spark,765,,207,,2013-02-13,The 2013 Chevrolet Spark Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Cruze <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:51,Chevrolet,41,Cruze,750,,208,,2013-04-23,Get The 2013 Chevrolet Cruze!,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:51,Chevrolet,41,Malibu,759,,209,,2013-02-13,The 2013 Chevrolet Malibu Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Orlando <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:51,Chevrolet,41,Orlando,760,,210,,2013-02-13,Get The 2013 Chevrolet Orlando!,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:51,Chevrolet,41,Avalanche,751,,211,,2013-02-13,The 2013 Chevrolet Avalanche Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Silverado 2500HD <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:51,Chevrolet,41,Silverado 2500HD,813,,212,,2013-04-23,Get The 2013 Chevrolet Silverado 2500HD!,,,,2013.0
,,,<p>Buick Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-14,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:51,Buick,42,Regal,774,,213,,2013-02-13,The 2013 Buick Regal Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Cadillac CTS Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-13,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:51,Cadillac,43,CTS Berline,826,,214,,2013-02-13,Get The 2013 Cadillac CTS Berline!,,,,2013.0
,,,<p>Cadillac Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-14,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:52,Cadillac,43,CTS Coupe,825,,215,,2013-02-13,The 2013 Cadillac CTS Coupe Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Cadillac XTS <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-13,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:52,Cadillac,43,XTS,830,,216,,2013-02-13,Get The 2013 Cadillac XTS!,,,,2013.0
,,,<p>Cadillac Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-13,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:52,Cadillac,43,Escalade,768,,217,,2013-02-13,The 2013 Cadillac Escalade Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the Nissan Rogue <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-15,,,https://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo/66981//2018-10-nissan-at-promo-rogue-en1538429208527.jpg,,2016-10-03 11:10:56,Nissan,2,Rogue,18,,258,,2013-02-22,Get The Nissan Rogue!,,,,
,,,<p>Nissan Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-15,,,https://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo/66586//2018-09-nissan-sentra-en1537290043652.png,,2016-10-03 11:10:56,Nissan,2,Sentra,34,,259,,2013-02-22,The Nissan Sentra Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the Nissan Altima <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-15,,,https://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo/67530//2018-10-nissan-at-promo-altima-en1538775556728.jpg,,2016-10-03 11:10:56,Nissan,2,Altima,35,,260,,2013-02-22,Get The Nissan Altima!,,,,
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Volt <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-02-25,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Chevrolet,41,Volt,783,,266,,2013-02-25,Get The 2013 Chevrolet Volt!,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-02-25,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Chevrolet,41,Volt,783,,267,,2013-04-23,The 2013 Chevrolet Volt Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda CX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Mazda,6,CX-5,736,,270,,2013-02-27,Get The 2013 Mazda CX-5!,,,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Mazda,6,CX-5,736,,271,,2013-02-27,The 2013 Mazda CX-5 Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda CX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Mazda,6,CX-5,736,,272,,2013-02-27,Get The 2013 Mazda CX-5!,,,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:58,Mazda,6,SPEED3,58,,277,,2013-02-27,The Mazda SPEED3 Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda 3 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:58,Mazda,6,3,56,,280,,2013-02-27,Get The 2013 Mazda 3!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda CX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:59,Mazda,6,CX-5,736,,284,,2013-02-27,Get The 2013 Mazda CX-5!,,,,2013.0
,,,<p>Nissan Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:59,Nissan,2,Sentra,34,,285,,2013-02-27,The 2013 Nissan Sentra Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Pathfinder <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Pathfinder,39,,304,,2013-06-01,Get The 2013 Nissan Pathfinder!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Rogue <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Rogue,18,,306,,2013-06-01,Get The 2013 Nissan Rogue!,,,,2013.0
,,,<p>Nissan Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Sentra,34,,307,,2013-03-04,The 2013 Nissan Sentra Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Sentra <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Sentra,34,,308,,2013-05-02,Get The 2013 Nissan Sentra!,1.8 S,1902.0,,2013.0
,,,<p>Nissan Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-07-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Altima,35,,309,,2013-06-01,The 2013 Nissan Altima Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Sentra <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Sentra,34,,312,,2013-03-05,Get The 2013 Nissan Sentra!,1.8 S,1902.0,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Altima <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:02,Nissan,2,Altima,35,,314,,2013-06-22,Get The 2013 Nissan Altima!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Pathfinder <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:02,Nissan,2,Pathfinder,39,,318,,2013-03-05,Get The 2013 Nissan Pathfinder!,,,,2013.0
,,,<p>Honda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:04,Honda,15,Civic Berline,471,,337,,2013-03-06,The 2013 Honda Civic Berline Is Here,,,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:04,Mazda,6,6,60,,339,,2013-04-01,The 2014 Mazda 6 Is Here,,,,2014.0
