car_desc,car_id,car_year,category,country_code,make,make_id,model,model_desc_id,vehicle_category_id
"With the all-new 2010 Sorento, Kia wants to show you a new way to see the world. We didn’t just upgrade a few features and add more equipment, we had something bigger in mind: an all-new vehicle. 

One look at Sorento and you’ll see why we call it beautifully rugged. With a new unibody structure, European-inspired styling, and available seven-passenger seating, everything about the Sorento has changed for the better. Even the manufacturing plant that builds it is new – and in North America.",23,2010,car,CA,Kia,1,Sorento,11,0
"There’s something for everyone in your family to smile about with the 2010 Sedona. There’s plenty of room for the kids and their friends, and space for all the luggage and bags your family vacations are famous for. For performance, there’s Sedona’s standard 244-horsepower V6 engine and 5-speed Steptronic automatic transmission, a combination that’s rated at 8.5L/100 km (33 mpg) on the highway – what a nice surprise! And of course there’s Sedona’s uncompromising and unbeatable safety. In fact, there is no safer minivan.


The 2010 Sedona has received a quadruple 5-star NHTSA crash safety rating. The 2009 model was a Top Safety Pick of the U.S. Insurance Institute for Highway Safety (IIHS). IIHS test results for the 2010 Sedona are not yet available.",24,2010,car,CA,Kia,1,Sedona,17,0
"It's a whole new way to move.

The 2011 redesined Nissan Rogue. Instant seamless power. Intuitive All-Wheel Drive. Smart storage. and a street-savvy 7,0/100 km.

Starting at 23 648$.
",25,2011,car,CA,Nissan,2,Rogue,18,0
"Nissan Armada. Live Big.
A full-size SUV with enough power, room and first-class appointments to make any day of the week feel epic.
starting at $ 55,898.",26,2011,car,CA,Nissan,2,Armada,19,0
"2011 ECLIPSE COUPE
Underneath its sleek, athletic exterior rests a powerful performance machine that awaits a sign. On your marks, get set, go.",27,2011,car,CA,Mitsubishi,3,Eclipse,20,0
"Imagine a supercar without supercar limitations.

Refined enough for the daily commute. Yet capable in the worst weather and road conditions. Nissan GT-R.
The first supercar meant to be driven by Anyone, Anytime, Anywhere.",28,2011,car,CA,Nissan,2,GT-R,21,0
"2010 LANCER
If the speed of life is measured in revolutions per minutes, the 2010 Mitsubishi Lancer is ready to rev it up. Whatever you expect from a sport sedan, it's time to upgrade. The limit is about to be lifted.",29,2010,car,CA,Mitsubishi,3,Lancer,22,0
"LUST AT FIRST SIGHT
When was the last time you were excited by a practical hatchback? If you're looking at the Lancer Sportback GTS, the answer is right now. With its sporty lines and muscular stance, “hatchback” is the last thing that's going to come to mind. But the first is easy. It's “how soon can I get behind the wheel”? And when you do, the standard Active Stability Control ensures you hug every curve.

Like all smart athletes, the GTS has power to spare but knows how to maximize it to its fullest potential. Excellent fuel economy goes hand-in-hand with the available CVT (Continuous Variable Transmission) that continually adjusts its drive ratio for optimal performance. Mitsubishi's 2.4L DOHC 16 valve, 4-cylinder engine with MIVEC (Mitsubishi Innovative Valve-timing Electronic Control) capable of 168 HP and 167 lb.-ft. of torque also helps keep fuel consumption way down even as your adrenaline rush goes way up.

A hot exterior with power to spare – there was a time when that would have been enough. Not anymore. Now you don't have to give up what you want for what you need. Like room. For a start, there's a handy 60/40-split rear seat useful for bigger cargo or gear. Need a little more room? Just lower the unique, adjustable cargo floor for even more extra flexibility. That's a total of 1,492L (52.7 cu. ft.) of available ""need to get this big screen TV home"".",31,2010,car,CA,Mitsubishi,3,Lancer Sportback,23,0
"Start Your Own Revolution
Let them eat dirt. The technologically advanced 2010 Lancer Evolution is ready to roll. Feel the unbridled power of the revolutionary 2.0-litre turbocharged and intercooled engine. Packing 291-horses worth of power, no one even comes close to the Lancer Evolution.

Drop the hammer, seamlessly shifting gears with the Twin Clutch Sportronic® Shift Transmission (TC-SST). Switch gears in milliseconds with advanced gear options - choose from Normal, Sport and Super Sport. Corner your chosen circuit with ease and the sophisticated handling of Super All-Wheel Control (S-AWC). So even when you’re flying, it keeps your wheels on the road.

Drop the hammer, seamlessly shifting gears with the Twin Clutch Sportronic® Shift Transmission (TC-SST). Switch gears in milliseconds with advanced gear options - choose from Normal, Sport and Super Sport. Corner your chosen circuit with ease and the sophisticated handling of Super All-Wheel Control (S-AWC). So even when you’re flying, it keeps your wheels on the road.

Race cars use the best parts for every purpose no matter what the brand. Same goes for the Lancer Evolution MR. EIBACH® springs and BILSTEIN® struts give uncompromising performance and handling. This suspension also keeps the ride supple over real-world pavement, with tough forged-aluminum control arms and enough travel for tough roads. The Lancer Evolution MR's racing-inspired Brembo brakes feature 2-piece front rotors with aluminum hats. This reduces un-sprung and weight for better handling and performance without sacrificing braking ability.",32,2010,car,CA,Mitsubishi,3,Lancer Evolution,24,0
"Practical Indulgence

Who knew practical could be so sexy? There’s no doubt the Galant is a great family car but with its sleek, muscular design your pulse will start racing every time you look at it. Now step inside and enjoy the Galant’s spacious, richly finished interior. 

Next, start the efficient 2.4 4-cylinder engine and take it for a spin. With standard Active Stability Control, you’ll feel every curve knowing you’re always in control. One thing is abundantly clear: this meticulously engineered car can take you to the office and everywhere in between.

Seamlessly shift gears, with the 4-speed Sportronic automatic transmission, while it learns and adapts to your driving style. 

The Galant is versatile enough to play host to your friends and family, yet athletic enough to tackle whatever curve the road might throw at you.

Practical functionality and comfort are the hallmarks of the Galant’s generous 2,860-litre cabin. Relax into the climate-controlled comfort of fabric seating. 

With its exhilarating performance record and remarkably comfortable interior, the Galant is a sound choice without any sacrifice",33,2010,car,CA,Mitsubishi,3,Galant,25,0
"Driving in Stand Out Style

Nothing stands out on the road quite like the new redesigned 2010 Mitsubishi Outlander. Its distinctive jet fighter grille makes its presence felt wherever it goes, while its athletic stance helps improve surface flow from bumper to fender reducing coefficient of drag. Of course, what's inside also counts. Even before you turn the key, you'll feel the presence of quality. Chrome accents, soft-touch materials on the instrument panel and door trim, and distinctive stitching throughout create a spacious and luxurious surrounding you can't help but appreciate.

Experience Stand Out Performance

The 2010 Outlander gives you the power and stability to go wherever you want. Under the hood of the LS and XLS sits a powerful 3.0L MIVEC engine with improved fuel economy, capable of an impressive 230 HP (10 more HP than previously). Then, of course, there's the superior handling. Thanks to Mitsubishi's S-AWC (Super All-Wheel Control). It's the first in the world to integrate an electronically controlled Active Front Differential with electronically controlled center differential system. This allows for advanced 4WD handling and traction performance, while maintaining good fuel consumption due to its lightweight design. Add cutting-edge innovations like Hill Start Assist and Idle Neutral Logic, and you're behind the wheel of a stand out crossover vehicle that's ready for anything.

Enjoy Stand Out Adventures

It doesn't matter if you're loading up with camping gear, renovation supplies or just the family groceries; with 2,056 litres of cargo room, the choices are endless. The flap-fold tailgate gives you instant access to the space you need while helping make light work of even the heaviest load. Plus, once you get going, we've made your trip as scenic and as entertaining as you want it to be. First, check your 40GB navigation system for the best possible route. Then, crank up the 750-watt Rockford Audio system and take your pick from the 10GB Music Server. Finally, grab the wheel and enjoy the rid",34,2010,car,CA,Mitsubishi,3,Outlander,26,0
"Being noticed never came so easily.

The C-Class is an authoritative presence that demands attention. Taut lines lend an air of effortless superiority. The aggressive AMG Styling Package with front, side and rear body panelling, also includes front and rear aprons, side skirts, and the self-assurance that comes along with being both powerful and elegant. The distinctive rear section and wide radiator grille establish the C-Class’ dominance on the road whether you are viewing it from the front or behind, and no matter which of the dynamic wheel options you choose, you’ll only add to the authoritative presence and eye-catching allure of this already stunning vehicle.   And with a range of additional options to choose from, including a variety of premium metallic paint colours, the look of your C-Class is tailored to your preference down to the finest detail.

Sculpted for performance and style, the exterior of the C-Class lives up to its unrivalled standard, shaped over the years by legacy of the threepointed star on its front. Bold and yet graceful, form and function collide in perfect harmony to present an automobile that makes a powerful and confident statement to all who lay eyes on it.
",35,2011,car,CA,Mercedes-Benz,4,Classe C Berline,27,0
"Expand your Expectation

The 2010 Endeavor continues to have a tall stature that provides a commanding view of the road but this year comes with a new front grille and redesigned rear hatch. Of course, it still has the roomy cabin and generous cargo space that delivers all the comforts of an SUV. The only time you might be caught off guard is when shift it into gear and experience its smooth, sedan-like handling. Reignite your passion with the road.

Commanding Performance

Hit the highway or head out of town, the Endeavor adapts to your adventure. Its sturdy unibody construction, All-Wheel-Drive and standard high-tech safety features-like 4-wheel disc brakes-keep you firmly in control. The 3.8L engine V6 engine, with 1,588kg of towing muscle, gives you the power to go anywhere and everywhere. 

Stylish Comfort

Inside the Endeavor, your passengers enjoy loads of legroom, leather seating surfaces, and all the space they need (2,163-litres to be exact) to pack in their gear. The power sunroof is a nice touch too. There’s no question the rugged Endeavor is reliable. But with 17” alloy wheels, Bluetooth hands-free and the Rockford Acoustic Design 6-CD/MP3 audio system on tap, dependable has never looked or sounded so good.",36,2010,car,CA,Mitsubishi,3,Endeavor,28,0
"THE ALL-NEW MITSUBISHI RVR

Full Command Surrounds You at a Glance 

Colour Multi-information Display 
Attractively designed colour multi-information display provides a useful readout of vehicle information, fuel consumption, trip computer and outside temperature. With a large display makes it easy for drivers to stay informed.

9-speaker Rockford Fosgate® Premium Sound System
This system features high-quality sound and bass response with a powerful punch. The speakers are fitted precisely into the door panels, turning them into frequency enhancing speaker cabinets. In addition, volume is automatically adjusted to suit the vehicle’s speed.

Connectivity
The system connects external devices with the vehicle’s systems. Devices connected to the USB port or via Bluetooth, such as mobile phones or MP3 players, may be controlled via the on-board switch or by voice command. The USB and auxiliary audio jack allow you to connect your iPod or MP3 player and enjoy your full music library in premium quality. Link your Bluetooth®-compatible mobile phone, and the voice-activated dialer lets you make calls while holding the wheel.

Your Natural Environment

Panoramic Glass Roof with Interior LED Illumination
The panoramic glass roof adds a new dimension to the drive, allowing you and your passengers to enjoy the view from every direction. Retracting the sunshade reveals a full-size glass roof panel extending over the front and rear seats. At night, the roof can be attractively illuminated with LED lamps.

Ready for Anything

Active Stability and TractionControl with Hill Start Assist
ASC uses onboard sensors to analyze the vehicle’s motion and identify lateral wheel slippage. By governing engine output and controlling braking to the appropriate wheels, ASC helps maintain stability and traction control. When wheel spin is detected, engine output is governed and braking force is applied to the spinning wheels to prevent driving torque loss. Hill Start Assist prevents the vehicle from rolling backward by automatically appl",37,2011,car,CA,Mitsubishi,3,RVR,29,0
"Mercedes interpreted, and defined – the GLK.

The GLK 350 4MATIC is, in the truest sense of the word, a completely original form of Mercedes. In it, two strong personalities merge to
create a vehicle concept as distinctive as it is innovative. And yet the GLK remains true to its roots. 

Even though this unmistakable off-roader interprets the Mercedes idea in the most independent fashion, the GLK embodies, above all, high standards of agility, safety and comfort, as well
as the courage to explore new territory – even before it hits the road.",38,2011,car,CA,Mercedes-Benz,4,Classe GLK,30,0
"The shape of things to come.

There's a new cube in town, and asymmetry is where it's at. From a unique wraparound rear window, to the photo frame rounded side windows, there's a whole new way to smile at the world.",39,2010,car,CA,Nissan,2,Cube,31,0
"It's all about the numbers. 

And these are impressive. Stay in the green with only 5.8 L/100 km (49 mpg) and up to 862 kilometres between fill-ups. And with class-leading power (122 hp) and torque (127 lb-ft) Versa offers both bold performance and exceptional fuel economy.",40,2010,car,CA,Nissan,2,Versa,33,0
"Summing up Mercedes-Benz in one letter.
 
For over 60 years, the letter E has been synonymous with comfort, safety and elegance. It is a tradition that the 2011 E-Class is proud to continue.  The driving experience is as sublime as always with a wide range of exciting engines complemented by our intelligent transmission and suspension systems.  The roots of the E-Class can be traced back as far as the early 20th century, when it set the lead for others to follow, both technologically and economically.  

Its timeless design still sends Mercedes-Benz enthusiasts into raptures to this day.  All the best aspects of the previous eight generations of the E-Class are combined in both the E-Class Sedan and E-Class Wagon.  The high levels of comfort and safety are the result of many decades of development work at Mercedes-Benz. Yet the end result is something utterly unique: the E-Class.",41,2011,car,CA,Mercedes-Benz,4,Classe E Berline,32,0
"Worry-free driving.

Sentra wears a metal timing chain that doesn't require scheduled replacements like rubber timing belts do. And its iridium-tipped spark plugs last 105,000 miles - a lot longer than traditional ones.",42,2010,car,CA,Nissan,2,Sentra,34,0
"Durability tested.
Over 5 000 quality and performance tests. One durable car. The Nissan Altima. Made to drive.
Built to last.
",43,2010,car,CA,Nissan,2,Altima,35,0
"Swift. Smooth. Inspiring. Exceptional.
Exhilaration comes standard with the Maxima.
The legendary 3.5 litre V6 rapidly unleashes its 290 horsepower with a press of the accelerator.
Starting at $ 39 450",44,2010,car,CA,Nissan,2,Maxima,36,0
"So well crafted, there's nothing else like it.

Always stylish, now with even more to amaze. From a roof made of glass, to real aluminum details and double-stitched leather, it's all been taken care of.",45,2010,car,CA,Nissan,2,Murano,37,0
"Keep it core.

261HP V6

Full-lenth Fully Boxed
Frame for strenght

Serious Off Road
Capabilities

Iconic Roof Rack

Innovative Utili-track",46,2010,car,CA,Nissan,2,XTERRA,38,0
"BUILT FOR THE LONG HAUL.
Frontier Crew Cab Long Bed. With expansive interior room for five and a bed over 6 feet long, our largest Frontier makes sure that wherever you go and whatever you do, you'll never come up short.
Starting at $ 31, 848",48,2010,car,CA,Nissan,2,Frontier,40,0
"The sporting meets the sublime. 
A low seating position and a sense of the sublime are waiting for you aboard the 2011 SL-Class.  Your eyes dance along the roadster’s elongated nose, whose power domes hint at the powerful engine that lies within. The power plant responds smoothly as you gently press the accelerator and the car eats up kilometre after kilometre of road.  But it goes way beyond performance. Design elements, like the impressive side gills, add visual excitement as well. Exclusive paint finishes, attractive wheels and performance tires add to this effect, as does the AMG Styling Package, which is standard on all models. Its sharply contoured front and rear aprons and side sills add final touches that are to die for.  When it comes to a total driving experience, the SL-Class is the complete package.",49,2011,car,CA,Mercedes-Benz,4,SL,41,0
"The B-Class.

For a lifestyle that’s always in 5th gear. What do you look for in a car? Versatility? Safety? Performance? 

The B-Class saves you from having to choose. It combines the advantages of many different vehicles to deliver a model that’s both practical and luxurious – catering to your active lifestyle. 
 
With a strikingly attractive interior and exterior and an array of enhanced standard features, the sporty B-Class provides exceptional ride comfort, sophisticated safety systems, a generous amount of space, and plenty of performance. All of this is remarkably captured in an eye-catching 4.27-metre long body.",50,2011,car,CA,Mercedes-Benz,4,Classe B,42,0
"Nissan Titan. Handle it with the Titan of trucks.

A fully-boxed ladder frame. 5.6-litre V8 pumping out 317 HP and 385 lb-ft of torque. A revolutionary bed featuring new longer lengths.
Starting at $ 33,448",51,2010,car,CA,Nissan,2,Titan,43,0
"""An arrow to fire down the highway.
Mercedes-Benz and the classic roadster have been irrevocably linked for a century. 

So who better to refine this much-heralded and greatly loved class of motor car? We think you’ll agree that the SLK keeps the spirit and passion of the roadster alive while combining it with a sense of refinement that’s like no other.

One glance reveals the bold, spirited styling. The distinctive nose and radiator grille emanate controlled aggression, and you’ll immediately notice the sport alloy wheels and exhaust tailpipes. 

Its air-piercing, arrow-shaped body features exterior mirrors with integrated, arrow-shaped indicator lamps.  There’s divinity in the details as well – like in the darkened taillights and metallic paint choices.  

And finally, with the SLK 350’s attention grabbing AMG Styling Package,1 it’s clear that the SLK-Class has taken poise to a whole new pinnacle.

New for the 2011 SLK 300 and SLK 350 is the Avantgarde Edition, offering more value than ever before. Loaded with features previously only available as part of option packages, the Avantgarde Edition enhances an already exhilarating experience. It’s yet more proof that the SLK-Class is as practical as it is sporty.""
",52,2011,car,CA,Mercedes-Benz,4,SLK,44,0
"Every 370Z™ delivers pure performance: 3.7-litre DOHC 24-valve V6 aluminum-alloy engine, 6-speed close-ratio manual transmission, available SynchroRev Match™, Traction Control System, Vehicle Dynamic Control, 18"" x 8.0"" (front)/18"" x 9.0"" (rear) 5-spoke aluminum-alloy wheels, are a sample of all standard feathure included with your 370Z.  

The Roadster also includes an electronically moving soft convertible top, rear wind deflector, and an electronically moving storage cover.
",53,2010,car,CA,Nissan,2,370Z,45,0
"Beautiful engineering. Shaped by expressive craftmanship.
Discover the luxury of the human touch.",54,2011,car,CA,INFINITI,5,M,46,0
Command an exquisite environment of immense possibility.,55,2011,car,CA,INFINITI,5,QX,47,0
"Crafted by perfection.

History has a way of repeating itself. The CLS-Class redefines what a coupe can be, without losing sight of what a Mercedes-Benz must be: passionate, innovative and athletically gifted. The iconic four-door coupe boasts design refinements that make its sleek, curvaceous steel skin even more arresting. 

Inside, the finest leathers, hand-fitted over ergonomically formed front seats, and an intuitive COMAND APS system assure an intimate connection between driver and vehicle. The interior comfort of the CLS-Class is matched only by its tremendous power. The victorious Mercedes Silver Arrows were descended from the Daimler-powered car that won the world's first auto race.  The CLS-Class shares this bloodline, along with the heritage of some of the world’s most treasured coupes.

For 2011, we’re proud to present the CLS-Class Avantgarde Edition. Offering more value than ever before, the Avantgarde Edition enhances an already exhilarating experience with a collection of added standard features. It’s yet more proof that the CLS-Class is as sensible as it is seductive.",57,2011,car,CA,Mercedes-Benz,4,CLS Berline,49,0
To fuse the powerful with the artful.,58,2010,car,CA,INFINITI,5,G37,48,0
"When form follows emotion, luxary becomes a vibrant expression of your personality. Styles becomes the personal extension of your feelings.",59,2010,car,CA,INFINITI,5,EX35,50,0
"Increase your enjoyment. Multiply it by seven.

The 2011 R-Class accommodates up to seven passengers in an exceedingly spacious interior – one in which new standards of luxury, safety, and comfort are set. Inspired by your desires (not to mention your needs), the R-Class defies the rigid definition of its category. 

Even at first glance, it’s clear that this is more than just a roomy Mercedes-Benz. Sleek good looks aside, every detail of the newly redesigned exterior styling of the R-Class’ 5.2-metre body bespeaks the R-Class’ sporty handling capabilities.",60,2011,car,CA,Mercedes-Benz,4,Classe R,51,0
"A defining luxury crossover. Embodied by craft, shaped by character, felt by the driver.",61,2010,car,CA,INFINITI,5,FX35,52,0
"A defining luxury crossover. Embodied by craft, shaped by character, felt by the driver.",62,2010,car,CA,INFINITI,5,FX50,53,0
"We dream in black and white checkered flags.

Right from the start, the Mercedes-Benz brand has stood for sporting success as well as comfort and luxury. On the road, and on the racetrack, cars bearing the famous three-pointed star have put their performance to the test time and time again. 

In 1900 we delivered the first ever vehicle to bear the name “Mercedes”. It was the first modern motorcar, boasted 35 hp and was, in fact, a racecar. In 1952 the 300 SL, the legendary gullwing model, first saw the light of day – and the checkered flags – at the 24 Hours of Le Mans, the Bern Grand Prix and the Carrera Panamericana.

In 1967 two former Mercedes engineers founded AMG with a simple goal – to design and produce the world’s best racing engines. 

In 1971, just four years after launching their dream, the legendary “Red Sow”, a bright-red 300 SEL 6.8 AMG, sped over the finish line, and into the history books, as the champion of its class at the 24 Hours of Spa. Countless victories in many racing series followed – establishing AMG as a force in the racing world.

Now, the engineers at Mercedes-AMG and Mercedes-Benz have joined to develop a sports car for modern times. They chase the dream with the same passion as their predecessors but use technology of the future. 

The SLS AMG pushes the limits of design and engineering. Mission accomplished. A new legend has been born.
",63,2011,car,CA,Mercedes-Benz,4,SLS AMG,54,0
"Tough, Rugged, and Innovative.

The 2010 Nissan Pathfinder. Starting at 37 948$",64,2010,car,CA,Nissan,2,Pathfinder,39,0
"IT'S A WHOLE NEW WAY TO MOVE.

There are no excuse, as long as you're outdoors.
Starting at 33 998$",65,2011,car,CA,Nissan,2,XTERRA,38,0
"Tough. Rugged. And innovative.
The 2011 Nissan Pathfinder.
Starting at 37 948 $",66,2011,car,CA,Nissan,2,Pathfinder,39,0
Nissan Titan. handle it with the Titan of trucks.,67,2011,car,CA,Nissan,2,Titan king cab,716,0
"Hot. From every angle.

Planning on taking one out for a test drive? Take it for a spin now, and see what every jealous by-stander is going to see, right before they head to their closest Mazda dealer.",68,2011,car,CA,Mazda,6,2,55,0
"You’ve just entered all-new MAZDA3 territory. Land of the goosebump and white knuckle. Home of the curve,
the rise and the twist. Where drivers who refuse to compromise joy in the name of practicality dig in
their heels and stand their ground. We invite you to join them. To plant your flag and pledge your
adrenaline to all that MAZDA3 stands for. To embrace the spirit of a fun-to-drive new sport
compact with features you never expected. And exercise your right to an exhilarating
ride that puts it all within your reach. All new. MAZDA3. Zoom-Zoom. Forever.",69,2010,car,CA,Mazda,6,3,56,0
"You’ve just entered all-new MAZDA3 territory. Land of the goosebump and white knuckle. Home of the curve,
the rise and the twist. Where drivers who refuse to compromise joy in the name of practicality dig in
their heels and stand their ground. We invite you to join them. To plant your flag and pledge your
adrenaline to all that MAZDA3 stands for. To embrace the spirit of a fun-to-drive new sport
compact with features you never expected. And exercise your right to an exhilarating
ride that puts it all within your reach. All new. MAZDA3. Zoom-Zoom. Forever.",70,2010,car,CA,Mazda,6,3 Sport,57,0
"Substitute your energy drinks with jolts of adrenaline inside the all-new 2010 MAZDASPEED3. Turn your mind-numbing commute into a white-knuckle joyride with the direct-injected, 2.3 L MZR turbocharged power plant. It pumps out 263-hp and a whopping 280 lb. ft. of torque. 

And it all starts at the tip of your fingers with the push-button start system. Inside the cabin, you’ll be greeted with dual-zone
climate controls, full-colour navigation, 10-speaker Bose Surround Sound system, and bluetooth capabilities. All-new 2010 MAZDASPEED3. Zoom-Zoom. Forever.",71,2010,car,CA,Mazda,6,SPEED3,58,0
"FIRST THINGS FIRST
 
Being the first of its kind, second looks come with the territory in a MAZDA5. This Multi-Activity Vehicle is truly a
fresh new breed. A savvy solution to the unique needs of active, multi-tasking adults and young families. Especially
those who firmly believe that practicality and versatility are best served up with a huge helping of fun on the side.
To that end, MAZDA5 is accommodating, yet agile. Safety-minded, yet stylish. Fuel-efficient, yet fun to drive. In
fact, everything about MAZDA5 is purposefully engineered to be a radically rewarding driving experience. From
its spacious, six-passenger interior and versatile, fold-flat cargo area to its advanced 2.3 L, DOHC powerplant and
sophisticated four-wheel independent suspension, MAZDA5 is as insightful as it is original. Zoom-Zoom. Forever.
",72,2010,car,CA,Mazda,6,5,59,0
